cd_ibge,ptb_rate,early_ptb_rate,extr_ptb_rate
2512309,0.0015076459185871204,0.0005169071720870128,0.0001723023906956709
2512408,0.0013206162876008803,0.000586940572267058,0.00022010271460014673
2512507,0.0021176309857230684,0.000409864061752852,9.108090261174488e-05
2512606,0.0,0.0,0.0
2512705,0.001137538779731127,0.00020682523267838676,0.0
2512721,0.0016490765171503958,0.00032981530343007914,0.0
2512747,0.0016835016835016834,0.0,0.0
2512754,0.0013333333333333333,0.00022222222222222223,0.0
2512762,0.0008934554389099843,0.00022336385972749609,0.0
2512788,0.0010251153254741158,0.0,0.0
2512804,0.0015139163852334926,0.000232910213112845,0.0001164551065564225
2512903,0.0018266356692128861,0.00024908668216539354,4.1514447027565595e-05
2513000,0.0022965042102577188,0.0,0.0
2513109,0.0009054243147584163,0.00016462260268334841,0.0
2513158,0.0010648007301490721,0.000152114390021296,0.000152114390021296
2513208,0.0016704631738800305,0.00045558086560364467,0.00015186028853454822
2513307,0.001015744032503809,0.00016929067208396818,0.0
2513356,0.0008340283569641367,0.0,0.0
2513406,0.000782472613458529,0.00013041210224308815,0.0
2513505,0.0007695267410542517,0.00019238168526356292,0.00019238168526356292
2513604,0.0009891196834817012,0.000423908435777872,0.00014130281192595732
2513653,0.00037243947858472997,0.0,0.0
2513703,0.0017966673293718291,0.00031662579984831417,0.00010308746971805578
2513802,0.0019629225736095966,0.0006543075245365322,0.00021810250817884405
2513851,0.0007898894154818325,0.0,0.0
2513901,0.0013019292223931827,0.00023671440407148776,0.00014794650254467984
2513927,0.0017809439002671415,0.0,0.0
2513943,0.0027121270825261525,0.0007748934521503294,0.0
2513968,0.0006478781988986071,0.00032393909944930353,0.0
2513984,0.0014832393948383269,0.0008899436369029962,0.0005932957579353308
2514008,0.0013911430558775793,0.0004637143519591931,0.0004637143519591931
2514107,0.0013544018058690745,0.0004514672686230248,0.0
2514206,0.0018229166666666667,0.00013020833333333333,0.00013020833333333333
2514305,0.0007993605115907274,0.000319744204636291,0.0
2514404,0.00042872454448017146,0.00021436227224008573,0.0
2514453,0.0008453085376162299,0.000169061707523246,0.000169061707523246
2514503,0.0011469605545304943,0.00034907495137884604,9.973570039395601e-05
2514552,0.00025588536335721597,0.0,0.0
2514602,0.0025524673851389677,0.0008508224617129892,0.0
2514651,0.0011166945840312675,0.0,0.0
2514701,0.000725689404934688,0.0,0.0
2514800,0.0005372011818426001,0.0,0.0
2514909,0.0010329244673983216,0.0002582311168495804,0.0
2515005,0.0015440763615946099,0.00014037057832678272,0.0
2515104,0.002042031821662554,0.0005105079554156385,0.00025525397770781926
2515203,0.001154068090017311,0.00028851702250432774,0.0
2515302,0.0010487576988349255,0.00015254657437598917,5.720496539099594e-05
2515401,0.0025167785234899327,0.0003728560775540641,0.0
2515500,0.0008070432868672047,7.336757153338224e-05,0.0
2515609,0.001591849729385546,0.0006367398917542184,0.0
2515708,0.0016186468112657818,0.0003237293622531564,0.0
2515807,0.0012782275244993609,0.000142025280499929,0.0
2515906,0.0006524221171097701,0.0,0.0
2515930,0.002218636546994756,0.0004033884630899556,0.0
2515971,0.0010321248871113405,0.00038704683266675265,0.0002580312217778351
2516003,0.0018050541516245488,0.00030084235860409147,0.00015042117930204573
2516102,0.0014827795376423805,0.0002695962795713419,0.0
2516151,0.0017064846416382253,0.0002844141069397042,0.0002844141069397042
2516201,0.0016772458466476773,0.00023134425471002445,8.675409551625916e-05
2516300,0.0015417457305502847,0.0003557874762808349,0.00017789373814041745
2516409,0.000918526683200147,0.0001837053366400294,9.18526683200147e-05
2516508,0.0019097793875535068,0.00032927230819888045,0.0001317089232795522
2516607,0.0009579854933625291,6.842753524018066e-05,0.0
